Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 41;A - Sprint 1 R2 2025;Atividades Pura-Infra;Pura-Infra;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;08/04/2025 16:12:05;05/05/2025 17:27:41
Ativado - Disponível para uso;Desenvolvedor 18;_R2_25;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;09/04/2025 09:26:51;15/04/2025 16:05:07
Ativado - Disponível para uso;Desenvolvedor 1;A - Sprint 1 R2 2025;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;09/04/2025 10:30:51;28/04/2025 09:40:55
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);845812;Dependências externas;Squad 2;09/04/2025 14:55:44;25/04/2025 09:33:28
Ativado - Disponível para uso;Desenvolvedor 5;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);579438;Dependências externas;Squad 3;10/04/2025 11:00:59;16/05/2025 19:43:29
Ativado - Disponível para uso;Desenvolvedor 23;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;10/04/2025 11:11:24;14/05/2025 14:01:48
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 1 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;10/04/2025 11:11:59;22/04/2025 10:28:58
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);88925;Falta de informações/Erros de definição;Squad 2;11/04/2025 10:44:03;12/05/2025 09:45:45
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 1 RELEASE 2;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;11/04/2025 11:43:58;28/04/2025 09:57:43
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 1 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;11/04/2025 15:15:26;22/04/2025 10:29:28
Ativado - Disponível para uso;Desenvolvedor 28; - Sprint 1_R2_2025;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;11/04/2025 18:19:31;25/04/2025 17:39:47
Ativado - Disponível para uso;Desenvolvedor 13;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;15/04/2025 10:11:03;16/04/2025 11:39:05
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;15/04/2025 10:27:10;25/04/2025 11:31:48
Ativado - Disponível para uso;Desenvolvedor 18;_R2_25;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;15/04/2025 12:06:37;08/05/2025 11:05:18
Ativado - Disponível para uso;Desenvolvedor 17;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;16/04/2025 09:42:19;08/05/2025 14:47:34
Ativado - Disponível para uso;Desenvolvedor 22;A - Sprint 2 R2 2025;Atividades Pura-Infra;Pura-Infra;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;16/04/2025 10:18:18;07/05/2025 19:32:53
Ativado - Disponível para uso;Desenvolvedor 17;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;16/04/2025 14:29:53;16/04/2025 14:35:03
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 14:46:49;24/04/2025 00:48:32
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 14:51:47;28/04/2025 09:50:12
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);80139;Infraestrutura/Ambiente;Squad 2;16/04/2025 14:56:02;01/05/2025 00:44:41
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);432504;Dependências externas;Squad 2;16/04/2025 15:04:45;08/05/2025 12:33:26
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);545223;Falta de informações/Erros de definição;Squad 2;16/04/2025 15:07:03;12/05/2025 09:43:35
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 15:15:39;24/04/2025 00:48:28
Ativado - Disponível para uso;Desenvolvedor 42;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 15:17:34;13/05/2025 10:14:52
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 15:23:15;12/05/2025 09:44:00
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;17/04/2025 09:05:28;28/04/2025 09:44:44
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;17/04/2025 09:31:47;02/05/2025 08:16:54
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;17/04/2025 10:45:34;28/04/2025 09:50:26
Ativado - Disponível para uso;Desenvolvedor 8;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;22/04/2025 15:10:43;16/05/2025 20:55:39
Benefício capturado;Desenvolvedor 8;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;22/04/2025 15:12:54;16/05/2025 20:55:35
Ativado - Disponível para uso;Desenvolvedor 14;2025-R2-SP02;Dados e Analytics;SOR   System of Records;;Até 1 semana - 5 dias úteis (PP);0;;Squad 1;22/04/2025 17:08:37;07/05/2025 09:45:22
Ativado - Disponível para uso;Desenvolvedor 15;2025-R2-SP02;Dados e Analytics;SOR   System of Records;;Até 3 semanas - 15 dias úteis (M);0;;Squad 1;22/04/2025 17:24:35;07/05/2025 09:46:30
Ativado - Disponível para uso;Desenvolvedor 2;RELEASE 2;Produto Digital com Software;Evolução Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;23/04/2025 11:08:04;25/04/2025 12:12:24
Ativado - Disponível para uso;Desenvolvedor 23;_R2_25;Produto Digital com Software;Solução de Dívida Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;23/04/2025 13:00:10;30/04/2025 11:35:46
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);252903;Falta de informações/Erros de definição;Squad 2;24/04/2025 09:48:57;09/05/2025 22:45:35
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;24/04/2025 10:36:11;12/05/2025 09:44:15
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;24/04/2025 11:01:01;16/05/2025 10:39:39
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 2 RELEASE 2;Produto Digital com Software;Evolução Técnica;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;24/04/2025 12:11:12;08/05/2025 23:33:18
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Evolução Técnica;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;24/04/2025 12:16:31;12/05/2025 09:45:26
Ativado - Disponível para uso;Desenvolvedor 1;A - Sprint 1 R2 2025;Atividades Pura-Infra;Pura-Infra;;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;25/04/2025 10:52:22;28/04/2025 15:54:37
Ativado - Disponível para uso;Desenvolvedor 6; - Sprint 1_R2_2025;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;25/04/2025 11:20:48;30/04/2025 09:46:33
Ativado - Disponível para uso;Desenvolvedor 35; - Sprint 1_R2_2025;Produto Digital com Software;Evolução Técnica;2;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;25/04/2025 14:32:20;29/04/2025 12:04:37
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 2 RELEASE 2;Produto Digital com Software;Novo produto;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;28/04/2025 11:10:21;16/05/2025 19:06:44
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 2 RELEASE 2;Produto Digital com Software;Novo produto;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;28/04/2025 11:52:41;20/05/2025 10:06:50
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 2 RELEASE 2;Produto Digital com Software;Novo produto;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;28/04/2025 12:02:28;16/05/2025 19:03:41
Ativado - Disponível para uso;Desenvolvedor 1;A - Sprint 2 R2 2025;Atividades Pura-Infra;Pura-Infra;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;28/04/2025 13:58:19;13/05/2025 10:09:02
Ativado - Disponível para uso;Desenvolvedor 1;A - Sprint 2 R2 2025;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;28/04/2025 14:01:03;06/05/2025 10:19:19
Ativado - Disponível para uso;Desenvolvedor 22;A - Sprint 2 R2 2025;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;28/04/2025 15:07:34;15/05/2025 13:08:06
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;28/04/2025 15:11:40;09/05/2025 09:56:25
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 1 R2 2025;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;28/04/2025 15:12:47;29/04/2025 18:21:18
Ativado - Disponível para uso;Desenvolvedor 21;A - Sprint 2 R2 2025;Atividades Pura-Infra;Pura-Infra;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;29/04/2025 18:22:49;13/05/2025 19:55:20
Benefício capturado;Desenvolvedor 6; - Sprint 2_R2_2025;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;30/04/2025 11:25:47;15/05/2025 11:47:01
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;30/04/2025 15:10:35;08/05/2025 23:32:47
Ativado - Disponível para uso;Desenvolvedor 23;_R2_25;Produto Digital com Software;Solução de Dívida Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;30/04/2025 15:13:42;06/05/2025 11:43:27
Ativado - Disponível para uso;Desenvolvedor 29;A - Sprint 2 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;02/05/2025 09:05:47;12/05/2025 11:10:47
Ativado - Disponível para uso;Desenvolvedor 43;RELEASE 2;Produto Digital com Software;Evolução Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;02/05/2025 09:15:00;07/05/2025 10:13:59
Ativado - Disponível para uso;Desenvolvedor 10;A - Sprint 2 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;05/05/2025 17:13:50;07/05/2025 09:47:29
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;06/05/2025 09:22:01;14/05/2025 17:55:00
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;06/05/2025 09:50:15;09/05/2025 09:47:10
Ativado - Disponível para uso;Desenvolvedor 43;RELEASE 2;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;06/05/2025 09:59:17;08/05/2025 09:15:51
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 2;Produto Digital com Software;Novo produto;3;Até 1 semana - 5 dias úteis (PP);360919;Dependências externas;Squad 5;06/05/2025 10:29:44;13/05/2025 16:45:47
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;06/05/2025 11:34:00;12/05/2025 09:43:24
Ativado - Disponível para uso;Desenvolvedor 27;RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;06/05/2025 12:24:19;13/05/2025 10:45:00
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;06/05/2025 16:28:12;09/05/2025 22:46:02
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;06/05/2025 16:37:44;12/05/2025 22:52:53
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;2;Até 1 semana - 5 dias úteis (PP);85933;Dependências externas;Squad 2;06/05/2025 16:40:04;15/05/2025 18:35:47
Ativado - Disponível para uso;Desenvolvedor 22;A - Sprint 2 R2 2025;Produto Digital com Software;Nova funcionalidade;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;07/05/2025 10:29:22;15/05/2025 13:07:57
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 2;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;07/05/2025 14:42:25;12/05/2025 08:11:18
Ativado - Disponível para uso;Desenvolvedor 38;;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;07/05/2025 15:18:52;07/05/2025 15:23:18
Ativado - Disponível para uso;Desenvolvedor 32;SPRINT 2 RELEASE 2;Produto Digital com Software;Novo produto;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;07/05/2025 17:01:27;09/05/2025 11:42:36
Ativado - Disponível para uso;Desenvolvedor 43;RELEASE 2;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;08/05/2025 09:32:34;19/05/2025 09:48:06
Ativado - Disponível para uso;Desenvolvedor 43;RELEASE 2;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;08/05/2025 09:42:04;19/05/2025 09:48:19
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;08/05/2025 15:28:32;12/05/2025 09:44:08
Ativado - Disponível para uso;Desenvolvedor 27;RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;08/05/2025 15:29:56;16/05/2025 09:23:04
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;08/05/2025 16:46:28;16/05/2025 11:04:41
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;1;Até 1 semana - 5 dias úteis (PP);65736;Dependências externas;Squad 2;08/05/2025 16:52:09;19/05/2025 15:28:25
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Parametrização de Software;Parametrizações;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;08/05/2025 16:53:57;19/05/2025 08:59:05
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;09/05/2025 11:07:13;14/05/2025 15:19:26
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 2 RELEASE 2;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;09/05/2025 11:29:54;15/05/2025 11:14:38
Ativado - Disponível para uso;Desenvolvedor 32;SPRINT 2 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;09/05/2025 11:35:39;15/05/2025 11:09:18
Ativado - Disponível para uso;Desenvolvedor 10;A - Sprint 2 R2 2025;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;09/05/2025 15:53:19;12/05/2025 11:14:47
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;12/05/2025 11:12:00;13/05/2025 09:58:15
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;12/05/2025 12:03:07;19/05/2025 09:42:51
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Produto Digital com Software;Evolução Técnica;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;12/05/2025 12:40:26;12/05/2025 22:52:41
Ativado - Disponível para uso;Desenvolvedor 23;_R2_25;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;12/05/2025 12:58:17;16/05/2025 11:47:57
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 2;Produto Digital com Software;Alteração de funcionalidade ;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;13/05/2025 09:56:55;16/05/2025 10:44:31
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;13/05/2025 10:00:09;19/05/2025 09:42:58
Ativado - Disponível para uso;Desenvolvedor 1;A - Sprint 2 R2 2025;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;14/05/2025 16:42:49;15/05/2025 13:07:45
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;14/05/2025 16:57:48;16/05/2025 11:04:26
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 2 RELEASE 2;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;14/05/2025 18:31:50;16/05/2025 19:04:15
Ativado - Disponível para uso;Desenvolvedor 22;A - Sprint 2 R2 2025;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;19/05/2025 16:56:09;21/05/2025 14:23:36
